VIN,YEAR,MAKE,Model,Body,Trim,ModelNumber,Doors,ExteriorColor,InteriorColor,EngineCylinders,EngineDisplacement,Transmission,Miles,SellingPrice,MSRP,BookValue,Invoice,DateInStock,Description,DealerZip,Ext_Color_Generic,Int_Color_Generic,Int_Upholstery,Engine_Block_Type,Engine_Aspiration_Type,Engine_Description,Transmission_Speed,Transmission_Description,Drivetrain,Fuel_Type,CityMPG,HighwayMPG,PassengerCapacity,ExtColorHexCode,EngineDisplacementCubicInches
1FTFW1E65DFB44013,2013,Ford,F150,Crew Cab Pickup,FX4,W1E,4,Blue Flame Metallic,Fx Luxury Bucket Seats Black Interior,8,6.2L,Automatic,56,51480,51480,46341,47223,41317,,77024,Blue,Black,,V,Electronic Fuel Injection,Gas V8 6.2L/379,6,6-Speed Automatic,4WD,Gasoline Fuel,11,16,5,0073C6,379
1FTFW1E67DFB44014,2013,Ford,F150,Crew Cab Pickup,Lariat,W1E,4,White Platinum Metallic Tri-Coat,Leather Bucket Seats W/Console Adobe Interior,8,6.2L,Automatic,7,49755,49755,44341,44875,41317,,77024,White,,,V,Electronic Fuel Injection,Gas V8 6.2L/379,6,6-Speed Automatic,4WD,Gasoline Fuel,11,16,6,C3BAB1,379
1FTFW1R6XDFC04460,2013,Ford,F-150,Crew Cab Pickup,SVT Raptor,W1R,4,Ingot Silver Metallic,7B SVT RAPTOR SEAT BLACK INTERIOR,8,6.2L,Automatic,0,56880,56880,0,52159,41383,,75115,Silver,Black,,V,Electronic Fuel Injection,Gas V8 6.2L/379,6,6-Speed Automatic,4WD,Gasoline Fuel,11,16,6,D0E1DD,379
1FTFW1R67DFC11642,2013,Ford,F-150,Crew Cab Pickup,SVT Raptor,W1R,4,Tuxedo Black Metallic,7B SVT RAPTOR SEAT BLACK INTERIOR,8,6.2L,Automatic,0,56070,56070,0,51458,41383,,75115,Black,Black,,V,Electronic Fuel Injection,Gas V8 6.2L/379,6,6-Speed Automatic,4WD,Gasoline Fuel,11,16,6,10101,379
1FTFW1R61DFC04461,2013,Ford,F-150,Crew Cab Pickup,SVT Raptor,W1R,4,Tuxedo Black Metallic,7B SVT RAPTOR SEAT BLACK INTERIOR,8,6.2L,Automatic,0,54905,54905,0,50447,41382,,75115,Black,Black,,V,Electronic Fuel Injection,Gas V8 6.2L/379,6,6-Speed Automatic,4WD,Gasoline Fuel,11,16,6,10101,379
1FTFW1R67DFB97726,2013,Ford,F-150,Crew Cab Pickup,SVT Raptor,W1R,4,Ingot Silver Metallic,BLACK,8,6.2L,Automatic,0,56495,56495,0,51827,41386,,75115,Silver,Black,,V,Electronic Fuel Injection,Gas V8 6.2L/379,6,6-Speed Automatic,4WD,Gasoline Fuel,11,16,6,D0E1DD,379
1FT7W2B60DEA47399,2013,Ford,Super Duty F250,Crew Cab Pickup,Lariat,W2B,4,Blue Jeans Metallic,Black Leather,8,6.2L,Automatic,26,53425,53425,48381,49881,41351,,77024,Blue,Black,,V,Electronic Fuel Injection,Gas/Ethanol V8 6.2L/379,6,6-Speed Automatic w/manual shift,4WD,Flex Fuel,,,5,32406F,379
1FT8W3B62DEA84478,2013,Ford,Super Duty F350 SRW,Crew Cab Pickup,XLT,W3B,4,Oxford White,Adobe,8,6.2L,Automatic,3,49795,49795,44996,46388,41345,,77024,White,,,V,Electronic Fuel Injection,Gas/Ethanol V8 6.2L/379,6,6-Speed Automatic w/manual shift,4WD,Flex Fuel,,,5,FFFFFF,379
1FT8W3B60DEA84477,2013,Ford,Super Duty F350 SRW,Crew Cab Pickup,XLT,W3B,4,Tuxedo Black Metallic,Adobe,8,6.2L,Automatic,3,49795,49795,44996,46388,41345,,77024,Black,,,V,Electronic Fuel Injection,Gas/Ethanol V8 6.2L/379,6,6-Speed Automatic w/manual shift,4WD,Flex Fuel,,,5,10101,379
1FT8W3B63DEB03264,2013,Ford,Super Duty F350 SRW,Crew Cab Pickup,XLT,W3B,4,Vermillion Red,Adobe,8,6.2L,Automatic,5,49795,49795,44996,46388,41362,,77024,Red,,,V,Electronic Fuel Injection,Gas/Ethanol V8 6.2L/379,6,6-Speed Automatic w/manual shift,4WD,Flex Fuel,,,5,880101,379
